預註冊閘門通過：DECISION_20260903_R440O_E3_LCB_PREREG.md 授權 g_r443_gemma_lcb
91 題（lcb）　輸出 runs/g_r443_gemma_lcb
── 量具驗證（先答已知答案）
   參考解通過 12/12　壞解被擋 12/12
  [ON 73/91] 需求符合=False 接受=False 累計呼叫=359
  [OFF5 73/91] 需求符合=False 接受=True 累計呼叫=365
  [OFF 74/91] 需求符合=True 接受=True 累計呼叫=74
  [ON 74/91] 需求符合=True 接受=True 累計呼叫=364
  [OFF5 74/91] 需求符合=True 接受=True 累計呼叫=370
  [OFF 75/91] 需求符合=False 接受=True 累計呼叫=75
  [ON 75/91] 需求符合=True 接受=True 累計呼叫=369
  [OFF5 75/91] 需求符合=False 接受=True 累計呼叫=375
  [OFF 76/91] 需求符合=False 接受=True 累計呼叫=76
  [ON 76/91] 需求符合=True 接受=True 累計呼叫=374
  [OFF5 76/91] 需求符合=True 接受=True 累計呼叫=380
  [OFF 77/91] 需求符合=True 接受=True 累計呼叫=77
  [ON 77/91] 需求符合=True 接受=True 累計呼叫=379
  [OFF5 77/91] 需求符合=True 接受=True 累計呼叫=385
  [OFF 78/91] 需求符合=True 接受=True 累計呼叫=78
  [ON 78/91] 需求符合=True 接受=True 累計呼叫=384
  [OFF5 78/91] 需求符合=False 接受=True 累計呼叫=390
  [OFF 79/91] 需求符合=False 接受=True 累計呼叫=79
  [ON 79/91] 需求符合=False 接受=False 累計呼叫=389
  [OFF5 79/91] 需求符合=False 接受=True 累計呼叫=395
  [OFF 80/91] 需求符合=False 接受=True 累計呼叫=80
  [ON 80/91] 需求符合=False 接受=False 累計呼叫=394
  [OFF5 80/91] 需求符合=False 接受=True 累計呼叫=400
  [OFF 81/91] 需求符合=True 接受=True 累計呼叫=81
  [ON 81/91] 需求符合=True 接受=True 累計呼叫=399
  [OFF5 81/91] 需求符合=False 接受=True 累計呼叫=405
  [OFF 82/91] 需求符合=False 接受=True 累計呼叫=82
<unknown>:5: SyntaxWarning: invalid escape sequence '\s'
<unknown>:5: SyntaxWarning: invalid escape sequence '\s'
<unknown>:5: SyntaxWarning: invalid escape sequence '\s'
  [ON 82/91] 需求符合=False 接受=False 累計呼叫=404
  [OFF5 82/91] 需求符合=True 接受=True 累計呼叫=410
  [OFF 83/91] 需求符合=False 接受=True 累計呼叫=83
  [ON 83/91] 需求符合=False 接受=False 累計呼叫=409
  [OFF5 83/91] 需求符合=False 接受=True 累計呼叫=415
  [OFF 84/91] 需求符合=False 接受=True 累計呼叫=84
  [OFF5 84/91] 需求符合=False 接受=True 累計呼叫=420
  [OFF 85/91] 需求符合=True 接受=True 累計呼叫=85
  [ON 85/91] 需求符合=True 接受=True 累計呼叫=417
  [OFF5 85/91] 需求符合=True 接受=True 累計呼叫=425
  [OFF 86/91] 需求符合=True 接受=True 累計呼叫=86
  [OFF5 86/91] 需求符合=True 接受=True 累計呼叫=430
  [OFF 87/91] 需求符合=False 接受=True 累計呼叫=87
  [ON 87/91] 需求符合=False 接受=True 累計呼叫=423
  [OFF5 87/91] 需求符合=False 接受=True 累計呼叫=435
  [OFF 88/91] 需求符合=True 接受=True 累計呼叫=88
  [ON 88/91] 需求符合=True 接受=True 累計呼叫=428
  [OFF5 88/91] 需求符合=True 接受=True 累計呼叫=440
  [OFF 89/91] 需求符合=True 接受=True 累計呼叫=89
<unknown>:2: SyntaxWarning: invalid escape sequence '\D'
<unknown>:2: SyntaxWarning: invalid escape sequence '\D'
  [ON 89/91] 需求符合=True 接受=True 累計呼叫=433
  [OFF5 89/91] 需求符合=False 接受=True 累計呼叫=445
  [OFF 90/91] 需求符合=False 接受=True 累計呼叫=90
  [ON 90/91] 需求符合=False 接受=False 累計呼叫=438
  [OFF5 90/91] 需求符合=False 接受=True 累計呼叫=450
  [OFF 91/91] 需求符合=True 接受=True 累計呼叫=91
  [ON 91/91] 需求符合=True 接受=True 累計呼叫=443
  [OFF5 91/91] 需求符合=True 接受=True 累計呼叫=455
── OFF: {"tasks": 91, "calls": 91, "infra_void": 0, "complete": true, "terminal": true, "processed": 91, "accepted": 91, "accepted_and_meets_demand": 47, "demand_equals_output_rate": 0.5164835164835165, "coverage": 1.0, "correct_delivery_rate": 0.5164835164835165, "raw_final_accuracy": 0.5164835164835165, "calls_per_task": 1.0, "calls_per_correct_delivery": 1.9361702127659575, "leaked": 44, "reviewer_accuracy": null, "raw_reviewer_accuracy": null, "reviewer_votes": 0, "review_fail_claims": 0, "machine_confirmed_counterexamples": 0, "confirmed_counterexample_precision_against_hidden_truth": null, "revision_transitions": null, "endpoint_latency_ms": {"all": {"n": 91, "p50": 23674, "p95": 156710, "max": 327489}, "by_role": {"gen": {"n": 91, "p50": 23674, "p95": 156710, "max": 327489}}, "failed_attempts": 0}, "wall_s": 4064.5, "cost_usd": 0.0, "market_cost_usd": 0.0, "market_cost_per_correct_delivery": 0.0}
── ON: {"tasks": 91, "calls": 443, "infra_void": 4, "complete": false, "terminal": true, "processed": 91, "accepted": 69, "accepted_and_meets_demand": 58, "demand_equals_output_rate": 0.8405797101449275, "coverage": 0.7931034482758621, "correct_delivery_rate": 0.6666666666666666, "raw_final_accuracy": 0.6666666666666666, "calls_per_task": 5.091954022988506, "calls_per_correct_delivery": 7.637931034482759, "leaked": 11, "reviewer_accuracy": 0.6436781609195402, "raw_reviewer_accuracy": 0.5478927203065134, "reviewer_votes": 261, "review_fail_claims": 234, "machine_confirmed_counterexamples": 143, "confirmed_counterexample_precision_against_hidden_truth": 0.5944055944055944, "revision_transitions": {"improved": 11, "harmed": 0, "stayed_correct": 47, "stayed_wrong": 29}, "endpoint_latency_ms": {"all": {"n": 443, "p50": 10171, "p95": 140555, "max": 396708}, "by_role": {"gen": {"n": 91, "p50": 32632, "p95": 159006, "max": 292729}, "review": {"n": 265, "p50": 4571, "p95": 69972, "max": 376067}, "revise": {"n": 87, "p50": 17029, "p95": 153397, "max": 396708}}, "failed_attempts": 22}, "wall_s": 21207.0, "cost_usd": 0.0, "market_cost_usd": 0.0, "market_cost_per_correct_delivery": 0.0}
── OFF5: {"tasks": 91, "calls": 455, "infra_void": 0, "complete": true, "terminal": true, "processed": 91, "accepted": 91, "accepted_and_meets_demand": 56, "demand_equals_output_rate": 0.6153846153846154, "coverage": 1.0, "correct_delivery_rate": 0.6153846153846154, "raw_final_accuracy": 0.6153846153846154, "calls_per_task": 5.0, "calls_per_correct_delivery": 8.125, "leaked": 35, "reviewer_accuracy": null, "raw_reviewer_accuracy": null, "reviewer_votes": 0, "review_fail_claims": 0, "machine_confirmed_counterexamples": 0, "confirmed_counterexample_precision_against_hidden_truth": null, "revision_transitions": null, "endpoint_latency_ms": {"all": {"n": 455, "p50": 25726, "p95": 144437, "max": 367786}, "by_role": {"gen": {"n": 455, "p50": 25726, "p95": 144437, "max": 367786}}, "failed_attempts": 13}, "wall_s": 21797.9, "cost_usd": 0.0, "market_cost_usd": 0.0, "market_cost_per_correct_delivery": 0.0}
⚠ run_complete=False——這些臂沒跑完：ON。這一輪的比例不得拿去比較（SPEC_GAIN §7）。

寫出 runs/g_r443_gemma_lcb/summary.json
⚠ 這是待驗證的宣稱不是結果——OFF5 沒跑贏之前不能說機制有效。
