<unknown>:4: SyntaxWarning: invalid escape sequence '\.'
<unknown>:5: SyntaxWarning: invalid escape sequence '\w'
371 題（evalplus）　輸出 runs/g_off371_20260825
── 量具驗證（先答已知答案）
   參考解通過 371/371　壞解被擋 371/371
  [OFF 221/371] 需求符合=True 接受=True 累計呼叫=218
  [OFF 222/371] 需求符合=True 接受=True 累計呼叫=219
  [OFF 223/371] 需求符合=True 接受=True 累計呼叫=220
  [OFF 224/371] 需求符合=False 接受=True 累計呼叫=221
  [OFF 225/371] 需求符合=True 接受=True 累計呼叫=222
  [OFF 226/371] 需求符合=True 接受=True 累計呼叫=223
  [OFF 227/371] 需求符合=True 接受=True 累計呼叫=224
  [OFF 228/371] 需求符合=True 接受=True 累計呼叫=225
  [OFF 229/371] 需求符合=True 接受=True 累計呼叫=226
  [OFF 230/371] 需求符合=True 接受=True 累計呼叫=227
  [OFF 231/371] 需求符合=True 接受=True 累計呼叫=228
  [OFF 232/371] 需求符合=False 接受=True 累計呼叫=229
  [OFF 233/371] 需求符合=True 接受=True 累計呼叫=230
  [OFF 234/371] 需求符合=True 接受=True 累計呼叫=231
  [OFF 235/371] 需求符合=True 接受=True 累計呼叫=232
  [OFF 236/371] 需求符合=True 接受=True 累計呼叫=233
  [OFF 237/371] 需求符合=False 接受=True 累計呼叫=234
  [OFF 238/371] 需求符合=True 接受=True 累計呼叫=235
  [OFF 239/371] 需求符合=True 接受=True 累計呼叫=236
  [OFF 240/371] 需求符合=True 接受=True 累計呼叫=237
  [OFF 241/371] 需求符合=True 接受=True 累計呼叫=238
  [OFF 242/371] 需求符合=True 接受=True 累計呼叫=239
  [OFF 243/371] 需求符合=True 接受=True 累計呼叫=240
  [OFF 244/371] 需求符合=True 接受=True 累計呼叫=241
  [OFF 245/371] 需求符合=True 接受=True 累計呼叫=242
  [OFF 246/371] 需求符合=True 接受=True 累計呼叫=243
  [OFF 247/371] 需求符合=False 接受=True 累計呼叫=244
  [OFF 248/371] 需求符合=True 接受=True 累計呼叫=245
  [OFF 249/371] 需求符合=False 接受=True 累計呼叫=246
  [OFF 250/371] 需求符合=True 接受=True 累計呼叫=247
  [OFF 251/371] 需求符合=True 接受=True 累計呼叫=248
  [OFF 252/371] 需求符合=True 接受=True 累計呼叫=249
  [OFF 253/371] 需求符合=True 接受=True 累計呼叫=250
  [OFF 254/371] 需求符合=False 接受=True 累計呼叫=251
  [OFF 255/371] 需求符合=True 接受=True 累計呼叫=252
  [OFF 256/371] 需求符合=True 接受=True 累計呼叫=253
  [OFF 257/371] 需求符合=True 接受=True 累計呼叫=254
  [OFF 258/371] 需求符合=True 接受=True 累計呼叫=255
  [OFF 259/371] 需求符合=False 接受=True 累計呼叫=256
  [OFF 260/371] 需求符合=False 接受=True 累計呼叫=257
  [OFF 262/371] 需求符合=True 接受=True 累計呼叫=258
  [OFF 263/371] 需求符合=True 接受=True 累計呼叫=259
  [OFF 264/371] 需求符合=True 接受=True 累計呼叫=260
  [OFF 265/371] 需求符合=True 接受=True 累計呼叫=261
  [OFF 266/371] 需求符合=True 接受=True 累計呼叫=262
  [OFF 267/371] 需求符合=False 接受=True 累計呼叫=263
  [OFF 268/371] 需求符合=True 接受=True 累計呼叫=264
  [OFF 269/371] 需求符合=False 接受=True 累計呼叫=265
  [OFF 270/371] 需求符合=False 接受=True 累計呼叫=266
  [OFF 271/371] 需求符合=True 接受=True 累計呼叫=267
  [OFF 272/371] 需求符合=False 接受=True 累計呼叫=268
  [OFF 273/371] 需求符合=True 接受=True 累計呼叫=269
  [OFF 274/371] 需求符合=True 接受=True 累計呼叫=270
  [OFF 275/371] 需求符合=True 接受=True 累計呼叫=271
  [OFF 276/371] 需求符合=True 接受=True 累計呼叫=272
  [OFF 277/371] 需求符合=True 接受=True 累計呼叫=273
  [OFF 278/371] 需求符合=True 接受=True 累計呼叫=274
  [OFF 279/371] 需求符合=True 接受=True 累計呼叫=275
  [OFF 280/371] 需求符合=False 接受=True 累計呼叫=276
  [OFF 281/371] 需求符合=True 接受=True 累計呼叫=277
  [OFF 282/371] 需求符合=True 接受=True 累計呼叫=278
  [OFF 283/371] 需求符合=True 接受=True 累計呼叫=279
  [OFF 284/371] 需求符合=True 接受=True 累計呼叫=280
  [OFF 285/371] 需求符合=False 接受=True 累計呼叫=281
  [OFF 286/371] 需求符合=True 接受=True 累計呼叫=282
  [OFF 287/371] 需求符合=True 接受=True 累計呼叫=283
  [OFF 288/371] 需求符合=True 接受=True 累計呼叫=284
  [OFF 289/371] 需求符合=False 接受=True 累計呼叫=285
  [OFF 290/371] 需求符合=True 接受=True 累計呼叫=286
  [OFF 291/371] 需求符合=True 接受=True 累計呼叫=287
  [OFF 292/371] 需求符合=True 接受=True 累計呼叫=288
  [OFF 293/371] 需求符合=True 接受=True 累計呼叫=289
  [OFF 294/371] 需求符合=True 接受=True 累計呼叫=290
  [OFF 295/371] 需求符合=True 接受=True 累計呼叫=291
  [OFF 296/371] 需求符合=False 接受=True 累計呼叫=292
  [OFF 297/371] 需求符合=True 接受=True 累計呼叫=293
  [OFF 298/371] 需求符合=True 接受=True 累計呼叫=294
  [OFF 299/371] 需求符合=True 接受=True 累計呼叫=295
  [OFF 300/371] 需求符合=True 接受=True 累計呼叫=296
  [OFF 301/371] 需求符合=True 接受=True 累計呼叫=297
  [OFF 302/371] 需求符合=True 接受=True 累計呼叫=298
  [OFF 303/371] 需求符合=True 接受=True 累計呼叫=299
  [OFF 304/371] 需求符合=False 接受=True 累計呼叫=300
  [OFF 305/371] 需求符合=True 接受=True 累計呼叫=301
  [OFF 306/371] 需求符合=True 接受=True 累計呼叫=302
  [OFF 307/371] 需求符合=False 接受=True 累計呼叫=303
  [OFF 308/371] 需求符合=False 接受=True 累計呼叫=304
  [OFF 309/371] 需求符合=True 接受=True 累計呼叫=305
  [OFF 310/371] 需求符合=True 接受=True 累計呼叫=306
  [OFF 311/371] 需求符合=True 接受=True 累計呼叫=307
  [OFF 312/371] 需求符合=False 接受=True 累計呼叫=308
  [OFF 313/371] 需求符合=True 接受=True 累計呼叫=309
  [OFF 314/371] 需求符合=True 接受=True 累計呼叫=310
  [OFF 315/371] 需求符合=True 接受=True 累計呼叫=311
  [OFF 316/371] 需求符合=False 接受=True 累計呼叫=312
  [OFF 317/371] 需求符合=True 接受=True 累計呼叫=313
  [OFF 318/371] 需求符合=True 接受=True 累計呼叫=314
  [OFF 319/371] 需求符合=True 接受=True 累計呼叫=315
  [OFF 320/371] 需求符合=True 接受=True 累計呼叫=316
  [OFF 321/371] 需求符合=True 接受=True 累計呼叫=317
  [OFF 322/371] 需求符合=True 接受=True 累計呼叫=318
  [OFF 323/371] 需求符合=False 接受=True 累計呼叫=319
  [OFF 324/371] 需求符合=False 接受=True 累計呼叫=320
  [OFF 325/371] 需求符合=True 接受=True 累計呼叫=321
  [OFF 326/371] 需求符合=True 接受=True 累計呼叫=322
  [OFF 327/371] 需求符合=False 接受=True 累計呼叫=323
  [OFF 328/371] 需求符合=False 接受=True 累計呼叫=324
  [OFF 329/371] 需求符合=True 接受=True 累計呼叫=325
  [OFF 330/371] 需求符合=True 接受=True 累計呼叫=326
  [OFF 331/371] 需求符合=True 接受=True 累計呼叫=327
  [OFF 332/371] 需求符合=False 接受=True 累計呼叫=328
  [OFF 333/371] 需求符合=True 接受=True 累計呼叫=329
  [OFF 334/371] 需求符合=True 接受=True 累計呼叫=330
  [OFF 335/371] 需求符合=True 接受=True 累計呼叫=331
  [OFF 336/371] 需求符合=False 接受=True 累計呼叫=332
  [OFF 337/371] 需求符合=True 接受=True 累計呼叫=333
  [OFF 338/371] 需求符合=True 接受=True 累計呼叫=334
  [OFF 339/371] 需求符合=True 接受=True 累計呼叫=335
  [OFF 340/371] 需求符合=True 接受=True 累計呼叫=336
  [OFF 341/371] 需求符合=True 接受=True 累計呼叫=337
  [OFF 342/371] 需求符合=True 接受=True 累計呼叫=338
  [OFF 343/371] 需求符合=True 接受=True 累計呼叫=339
  [OFF 344/371] 需求符合=True 接受=True 累計呼叫=340
  [OFF 345/371] 需求符合=True 接受=True 累計呼叫=341
  [OFF 346/371] 需求符合=True 接受=True 累計呼叫=342
  [OFF 347/371] 需求符合=True 接受=True 累計呼叫=343
  [OFF 348/371] 需求符合=False 接受=True 累計呼叫=344
  [OFF 349/371] 需求符合=False 接受=True 累計呼叫=345
  [OFF 350/371] 需求符合=True 接受=True 累計呼叫=346
  [OFF 351/371] 需求符合=False 接受=True 累計呼叫=347
  [OFF 352/371] 需求符合=True 接受=True 累計呼叫=348
  [OFF 353/371] 需求符合=False 接受=True 累計呼叫=349
  [OFF 354/371] 需求符合=True 接受=True 累計呼叫=350
  [OFF 355/371] 需求符合=True 接受=True 累計呼叫=351
  [OFF 356/371] 需求符合=True 接受=True 累計呼叫=352
  [OFF 357/371] 需求符合=True 接受=True 累計呼叫=353
  [OFF 358/371] 需求符合=True 接受=True 累計呼叫=354
  [OFF 359/371] 需求符合=True 接受=True 累計呼叫=355
  [OFF 360/371] 需求符合=True 接受=True 累計呼叫=356
  [OFF 361/371] 需求符合=True 接受=True 累計呼叫=357
  [OFF 362/371] 需求符合=True 接受=True 累計呼叫=358
  [OFF 363/371] 需求符合=True 接受=True 累計呼叫=359
  [OFF 364/371] 需求符合=True 接受=True 累計呼叫=360
  [OFF 365/371] 需求符合=True 接受=True 累計呼叫=361
  [OFF 366/371] 需求符合=True 接受=True 累計呼叫=362
  [OFF 367/371] 需求符合=True 接受=True 累計呼叫=363
  [OFF 368/371] 需求符合=False 接受=True 累計呼叫=364
  [OFF 369/371] 需求符合=True 接受=True 累計呼叫=365
  [OFF 370/371] 需求符合=False 接受=True 累計呼叫=366
  [OFF 371/371] 需求符合=False 接受=True 累計呼叫=367
── OFF: {"tasks": 371, "calls": 367, "infra_void": 4, "complete": false, "accepted": 367, "accepted_and_meets_demand": 288, "demand_equals_output_rate": 0.784741144414169, "coverage": 1.0, "correct_delivery_rate": 0.784741144414169, "raw_final_accuracy": 0.784741144414169, "calls_per_task": 1.0, "calls_per_correct_delivery": 1.2743055555555556, "leaked": 79, "reviewer_accuracy": null, "raw_reviewer_accuracy": null, "reviewer_votes": 0, "review_fail_claims": 0, "machine_confirmed_counterexamples": 0, "confirmed_counterexample_precision_against_hidden_truth": null, "revision_transitions": null, "endpoint_latency_ms": {"all": {"n": 367, "p50": 45062, "p95": 106365, "max": 166292}, "by_role": {"gen": {"n": 367, "p50": 45062, "p95": 106365, "max": 166292}}, "failed_attempts": 12}, "wall_s": 20632.3, "cost_usd": 0.0, "market_cost_usd": 0.0, "market_cost_per_correct_delivery": 0.0}
⚠ run_complete=False——這些臂沒跑完：OFF。這一輪的比例不得拿去比較（SPEC_GAIN §7）。

寫出 runs/g_off371_20260825/summary.json
⚠ 這是待驗證的宣稱不是結果——OFF5 沒跑贏之前不能說機制有效。
